internship_id,internship_title,required_skills,sector,location,description
INT2145,Content Marketing Intern,"Communication, Content Writing",Marketing,Rural,"Seeking a motivated Content Marketing Intern to join our Marketing team. The ideal candidate will have skills in Communication, Content Writing."
INT2146,Investment Banking Intern,"Power BI, Statistics",Finance,Noida,"Seeking a motivated Investment Banking Intern to join our Finance team. The ideal candidate will have skills in Power BI, Statistics."
INT2147,Backend Developer Intern,"React, Java, Data Analysis, Git",Software Development,Noida,"Seeking a motivated Backend Developer Intern to join our Software Development team. The ideal candidate will have skills in React, Java, Data Analysis, Git."
INT2148,UI/UX Designer Intern,"C++, Figma, Adobe XD",Design,Delhi,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in C++, Figma, Adobe XD."
INT2149,Investment Banking Intern,"Statistics, Tally",Finance,Mumbai,"Seeking a motivated Investment Banking Intern to join our Finance team. The ideal candidate will have skills in Statistics, Tally."
INT2150,Video Editor Intern,"Adobe Premiere Pro, Copywriting, Content Writing, Research",Media,Rural,"Seeking a motivated Video Editor Intern to join our Media team. The ideal candidate will have skills in Adobe Premiere Pro, Copywriting, Content Writing, Research."
INT2151,Civil Engineer Intern,"SolidWorks, VLSI",Engineering,Chennai,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in SolidWorks, VLSI."
INT2152,Wealth Management Intern,"Tally, MS Excel, Accounting",Finance,Noida,"Seeking a motivated Wealth Management Intern to join our Finance team. The ideal candidate will have skills in Tally, MS Excel, Accounting."
INT2153,AI/ML Intern,"SQL, Java",Software Development,Pune,"Seeking a motivated AI/ML Intern to join our Software Development team. The ideal candidate will have skills in SQL, Java."
INT2154,Journalism Intern,"Adobe Premiere Pro, Content Writing",Media,Hyderabad,"Seeking a motivated Journalism Intern to join our Media team. The ideal candidate will have skills in Adobe Premiere Pro, Content Writing."
INT2155,Digital Marketing Intern,"Google Analytics, Communication, Content Writing",Marketing,Hyderabad,"Seeking a motivated Digital Marketing Intern to join our Marketing team. The ideal candidate will have skills in Google Analytics, Communication, Content Writing."
INT2156,Civil Engineer Intern,"AutoCAD, VLSI, MATLAB, SolidWorks",Engineering,Rural,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in AutoCAD, VLSI, MATLAB, SolidWorks."
INT2157,Social Media Intern,"Social Media Marketing, SEO",Marketing,Chennai,"Seeking a motivated Social Media Intern to join our Marketing team. The ideal candidate will have skills in Social Media Marketing, SEO."
INT2158,Graphic Designer Intern,"Illustrator, UI/UX, C++",Design,Noida,"Seeking a motivated Graphic Designer Intern to join our Design team. The ideal candidate will have skills in Illustrator, UI/UX, C++."
INT2159,Software Developer Intern,"Docker, Node.js, Java, Python",Software Development,Rural,"Seeking a motivated Software Developer Intern to join our Software Development team. The ideal candidate will have skills in Docker, Node.js, Java, Python."
INT2160,Electronics Engineer Intern,"AutoCAD, Circuit Design, VLSI, SolidWorks",Engineering,Hyderabad,"Seeking a motivated Electronics Engineer Intern to join our Engineering team. The ideal candidate will have skills in AutoCAD, Circuit Design, VLSI, SolidWorks."
INT2161,Journalism Intern,"Research, Content Writing, Adobe Premiere Pro",Media,Bangalore,"Seeking a motivated Journalism Intern to join our Media team. The ideal candidate will have skills in Research, Content Writing, Adobe Premiere Pro."
INT2162,Mechanical Engineer Intern,"MATLAB, VLSI",Engineering,Chennai,"Seeking a motivated Mechanical Engineer Intern to join our Engineering team. The ideal candidate will have skills in MATLAB, VLSI."
INT2163,Mechanical Engineer Intern,"MATLAB, AutoCAD, SolidWorks, Circuit Design",Engineering,Chennai,"Seeking a motivated Mechanical Engineer Intern to join our Engineering team. The ideal candidate will have skills in MATLAB, AutoCAD, SolidWorks, Circuit Design."
INT2164,Journalism Intern,"Adobe Premiere Pro, Copywriting, Content Writing, Research",Media,Rural,"Seeking a motivated Journalism Intern to join our Media team. The ideal candidate will have skills in Adobe Premiere Pro, Copywriting, Content Writing, Research."
INT2165,Social Media Intern,"Communication, Social Media Marketing, SEO",Marketing,Rural,"Seeking a motivated Social Media Intern to join our Marketing team. The ideal candidate will have skills in Communication, Social Media Marketing, SEO."
INT2166,Product Designer Intern,"Photoshop, Illustrator",Design,Noida,"Seeking a motivated Product Designer Intern to join our Design team. The ideal candidate will have skills in Photoshop, Illustrator."
INT2167,Investment Banking Intern,"MS Excel, Accounting, Power BI",Finance,Remote,"Seeking a motivated Investment Banking Intern to join our Finance team. The ideal candidate will have skills in MS Excel, Accounting, Power BI."
INT2168,Graphic Designer Intern,"C++, Photoshop, UI/UX, Figma",Design,Hyderabad,"Seeking a motivated Graphic Designer Intern to join our Design team. The ideal candidate will have skills in C++, Photoshop, UI/UX, Figma."
INT2169,Video Editor Intern,"Adobe Premiere Pro, Content Writing",Media,Mumbai,"Seeking a motivated Video Editor Intern to join our Media team. The ideal candidate will have skills in Adobe Premiere Pro, Content Writing."
INT2170,Product Designer Intern,"Adobe XD, C++",Design,Remote,"Seeking a motivated Product Designer Intern to join our Design team. The ideal candidate will have skills in Adobe XD, C++."
INT2171,Accounting Intern,"Accounting, MS Excel",Finance,Rural,"Seeking a motivated Accounting Intern to join our Finance team. The ideal candidate will have skills in Accounting, MS Excel."
INT2172,AI/ML Intern,"Java, Python, SQL",Software Development,Rural,"Seeking a motivated AI/ML Intern to join our Software Development team. The ideal candidate will have skills in Java, Python, SQL."
INT2173,Social Media Intern,"Content Writing, Email Marketing",Marketing,Rural,"Seeking a motivated Social Media Intern to join our Marketing team. The ideal candidate will have skills in Content Writing, Email Marketing."
INT2174,AI/ML Intern,"Data Analysis, Machine Learning, Docker, Java",Software Development,Bangalore,"Seeking a motivated AI/ML Intern to join our Software Development team. The ideal candidate will have skills in Data Analysis, Machine Learning, Docker, Java."
INT2175,Mechanical Engineer Intern,"SolidWorks, AutoCAD",Engineering,Delhi,"Seeking a motivated Mechanical Engineer Intern to join our Engineering team. The ideal candidate will have skills in SolidWorks, AutoCAD."
INT2176,Project Management Intern,"Communication, Data Analysis, Market Research",Management,Chennai,"Seeking a motivated Project Management Intern to join our Management team. The ideal candidate will have skills in Communication, Data Analysis, Market Research."
INT2177,UI/UX Designer Intern,"Photoshop, Figma, Adobe XD, UI/UX",Design,Chennai,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in Photoshop, Figma, Adobe XD, UI/UX."
INT2178,SEO Analyst Intern,"Content Writing, Social Media Marketing",Marketing,Rural,"Seeking a motivated SEO Analyst Intern to join our Marketing team. The ideal candidate will have skills in Content Writing, Social Media Marketing."
INT2179,Content Marketing Intern,"Social Media Marketing, Content Writing",Marketing,Pune,"Seeking a motivated Content Marketing Intern to join our Marketing team. The ideal candidate will have skills in Social Media Marketing, Content Writing."
INT2180,Accounting Intern,"MS Excel, Power BI, Financial Modeling, Tally",Finance,Rural,"Seeking a motivated Accounting Intern to join our Finance team. The ideal candidate will have skills in MS Excel, Power BI, Financial Modeling, Tally."
INT2181,Mechanical Engineer Intern,"MATLAB, Circuit Design",Engineering,Bangalore,"Seeking a motivated Mechanical Engineer Intern to join our Engineering team. The ideal candidate will have skills in MATLAB, Circuit Design."
INT2182,AI/ML Intern,"Java, React, Node.js, C++",Software Development,Rural,"Seeking a motivated AI/ML Intern to join our Software Development team. The ideal candidate will have skills in Java, React, Node.js, C++."
INT2183,Product Designer Intern,"Illustrator, Photoshop, Figma, Adobe XD",Design,Rural,"Seeking a motivated Product Designer Intern to join our Design team. The ideal candidate will have skills in Illustrator, Photoshop, Figma, Adobe XD."
INT2184,Electronics Engineer Intern,"VLSI, MATLAB, SolidWorks",Engineering,Bangalore,"Seeking a motivated Electronics Engineer Intern to join our Engineering team. The ideal candidate will have skills in VLSI, MATLAB, SolidWorks."
INT2185,Operations Intern,"Market Research, Data Analysis, Project Management",Management,Bangalore,"Seeking a motivated Operations Intern to join our Management team. The ideal candidate will have skills in Market Research, Data Analysis, Project Management."
INT2186,Graphic Designer Intern,"UI/UX, C++, Figma",Design,Remote,"Seeking a motivated Graphic Designer Intern to join our Design team. The ideal candidate will have skills in UI/UX, C++, Figma."
INT2187,Accounting Intern,"Accounting, Statistics",Finance,Rural,"Seeking a motivated Accounting Intern to join our Finance team. The ideal candidate will have skills in Accounting, Statistics."
INT2188,Electronics Engineer Intern,"AutoCAD, Circuit Design, SolidWorks",Engineering,Rural,"Seeking a motivated Electronics Engineer Intern to join our Engineering team. The ideal candidate will have skills in AutoCAD, Circuit Design, SolidWorks."
INT2189,UI/UX Designer Intern,"Photoshop, Illustrator, Adobe XD",Design,Gurgaon,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in Photoshop, Illustrator, Adobe XD."
INT2190,Electronics Engineer Intern,"AutoCAD, Circuit Design, MATLAB, VLSI",Engineering,Rural,"Seeking a motivated Electronics Engineer Intern to join our Engineering team. The ideal candidate will have skills in AutoCAD, Circuit Design, MATLAB, VLSI."
INT2191,AI/ML Intern,"Java, Machine Learning, Python",Software Development,Noida,"Seeking a motivated AI/ML Intern to join our Software Development team. The ideal candidate will have skills in Java, Machine Learning, Python."
INT2192,UI/UX Designer Intern,"Illustrator, C++, Figma",Design,Noida,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in Illustrator, C++, Figma."
INT2193,Graphic Designer Intern,"C++, Photoshop, Illustrator, UI/UX",Design,Rural,"Seeking a motivated Graphic Designer Intern to join our Design team. The ideal candidate will have skills in C++, Photoshop, Illustrator, UI/UX."
INT2194,Electronics Engineer Intern,"MATLAB, Circuit Design, SolidWorks, VLSI",Engineering,Delhi,"Seeking a motivated Electronics Engineer Intern to join our Engineering team. The ideal candidate will have skills in MATLAB, Circuit Design, SolidWorks, VLSI."
INT2195,Content Writer Intern,"Copywriting, Content Writing, Research, Adobe Premiere Pro",Media,Noida,"Seeking a motivated Content Writer Intern to join our Media team. The ideal candidate will have skills in Copywriting, Content Writing, Research, Adobe Premiere Pro."
INT2196,UI/UX Designer Intern,"Illustrator, Figma, Adobe XD, UI/UX",Design,Bangalore,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in Illustrator, Figma, Adobe XD, UI/UX."
INT2197,Journalism Intern,"Adobe Premiere Pro, Copywriting, Research",Media,Chennai,"Seeking a motivated Journalism Intern to join our Media team. The ideal candidate will have skills in Adobe Premiere Pro, Copywriting, Research."
INT2198,Video Editor Intern,"Adobe Premiere Pro, Copywriting, Research, Content Writing",Media,Remote,"Seeking a motivated Video Editor Intern to join our Media team. The ideal candidate will have skills in Adobe Premiere Pro, Copywriting, Research, Content Writing."
INT2199,Project Management Intern,"Data Analysis, Communication",Management,Hyderabad,"Seeking a motivated Project Management Intern to join our Management team. The ideal candidate will have skills in Data Analysis, Communication."
INT2200,Project Management Intern,"Data Analysis, MS Office, Project Management",Management,Rural,"Seeking a motivated Project Management Intern to join our Management team. The ideal candidate will have skills in Data Analysis, MS Office, Project Management."
INT2201,Video Editor Intern,"Copywriting, Research, Adobe Premiere Pro",Media,Rural,"Seeking a motivated Video Editor Intern to join our Media team. The ideal candidate will have skills in Copywriting, Research, Adobe Premiere Pro."
INT2202,Civil Engineer Intern,"Circuit Design, VLSI, AutoCAD, SolidWorks",Engineering,Rural,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in Circuit Design, VLSI, AutoCAD, SolidWorks."
INT2203,Content Writer Intern,"Research, Copywriting",Media,Mumbai,"Seeking a motivated Content Writer Intern to join our Media team. The ideal candidate will have skills in Research, Copywriting."
INT2204,Frontend Developer Intern,"React, C++",Software Development,Chennai,"Seeking a motivated Frontend Developer Intern to join our Software Development team. The ideal candidate will have skills in React, C++."
INT2205,Business Development Intern,"Data Analysis, Market Research",Management,Rural,"Seeking a motivated Business Development Intern to join our Management team. The ideal candidate will have skills in Data Analysis, Market Research."
INT2206,Backend Developer Intern,"Git, Data Analysis, Machine Learning, C++",Software Development,Rural,"Seeking a motivated Backend Developer Intern to join our Software Development team. The ideal candidate will have skills in Git, Data Analysis, Machine Learning, C++."
INT2207,Operations Intern,"Project Management, Data Analysis, Market Research, MS Office",Management,Noida,"Seeking a motivated Operations Intern to join our Management team. The ideal candidate will have skills in Project Management, Data Analysis, Market Research, MS Office."
INT2208,Electronics Engineer Intern,"SolidWorks, AutoCAD, Circuit Design",Engineering,Rural,"Seeking a motivated Electronics Engineer Intern to join our Engineering team. The ideal candidate will have skills in SolidWorks, AutoCAD, Circuit Design."
INT2209,Content Marketing Intern,"SEO, Social Media Marketing, Content Writing",Marketing,Noida,"Seeking a motivated Content Marketing Intern to join our Marketing team. The ideal candidate will have skills in SEO, Social Media Marketing, Content Writing."
INT2210,Financial Analyst Intern,"MS Excel, Tally",Finance,Gurgaon,"Seeking a motivated Financial Analyst Intern to join our Finance team. The ideal candidate will have skills in MS Excel, Tally."
INT2211,UI/UX Designer Intern,"Photoshop, UI/UX",Design,Mumbai,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in Photoshop, UI/UX."
INT2212,Frontend Developer Intern,"C++, Machine Learning, Java",Software Development,Remote,"Seeking a motivated Frontend Developer Intern to join our Software Development team. The ideal candidate will have skills in C++, Machine Learning, Java."
INT2213,HR Intern,"Market Research, Communication",Management,Noida,"Seeking a motivated HR Intern to join our Management team. The ideal candidate will have skills in Market Research, Communication."
INT2214,Wealth Management Intern,"Power BI, Statistics, MS Excel",Finance,Noida,"Seeking a motivated Wealth Management Intern to join our Finance team. The ideal candidate will have skills in Power BI, Statistics, MS Excel."
INT2215,Civil Engineer Intern,"SolidWorks, VLSI, Circuit Design, MATLAB",Engineering,Pune,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in SolidWorks, VLSI, Circuit Design, MATLAB."
INT2216,Wealth Management Intern,"Tally, Accounting",Finance,Rural,"Seeking a motivated Wealth Management Intern to join our Finance team. The ideal candidate will have skills in Tally, Accounting."
INT2217,UI/UX Designer Intern,"Adobe XD, Photoshop",Design,Rural,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in Adobe XD, Photoshop."
INT2218,Data Scientist Intern,"C++, Java, Python, Git",Software Development,Pune,"Seeking a motivated Data Scientist Intern to join our Software Development team. The ideal candidate will have skills in C++, Java, Python, Git."
INT2219,Product Designer Intern,"Adobe XD, Figma, C++",Design,Remote,"Seeking a motivated Product Designer Intern to join our Design team. The ideal candidate will have skills in Adobe XD, Figma, C++."
INT2220,Social Media Intern,"SEO, Content Writing",Marketing,Chennai,"Seeking a motivated Social Media Intern to join our Marketing team. The ideal candidate will have skills in SEO, Content Writing."
INT2221,HR Intern,"MS Office, Project Management",Management,Delhi,"Seeking a motivated HR Intern to join our Management team. The ideal candidate will have skills in MS Office, Project Management."
INT2222,Content Marketing Intern,"Google Analytics, Content Writing",Marketing,Chennai,"Seeking a motivated Content Marketing Intern to join our Marketing team. The ideal candidate will have skills in Google Analytics, Content Writing."
INT2223,Content Marketing Intern,"SEO, Google Analytics, Email Marketing",Marketing,Noida,"Seeking a motivated Content Marketing Intern to join our Marketing team. The ideal candidate will have skills in SEO, Google Analytics, Email Marketing."
INT2224,UI/UX Designer Intern,"UI/UX, Adobe XD, Photoshop",Design,Bangalore,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in UI/UX, Adobe XD, Photoshop."
INT2225,Frontend Developer Intern,"Git, React",Software Development,Noida,"Seeking a motivated Frontend Developer Intern to join our Software Development team. The ideal candidate will have skills in Git, React."
INT2226,Social Media Intern,"Content Writing, Google Analytics, Social Media Marketing",Marketing,Remote,"Seeking a motivated Social Media Intern to join our Marketing team. The ideal candidate will have skills in Content Writing, Google Analytics, Social Media Marketing."
INT2227,Accounting Intern,"Financial Modeling, Statistics, MS Excel",Finance,Rural,"Seeking a motivated Accounting Intern to join our Finance team. The ideal candidate will have skills in Financial Modeling, Statistics, MS Excel."
INT2228,Mechanical Engineer Intern,"VLSI, Circuit Design, AutoCAD",Engineering,Rural,"Seeking a motivated Mechanical Engineer Intern to join our Engineering team. The ideal candidate will have skills in VLSI, Circuit Design, AutoCAD."
INT2229,Civil Engineer Intern,"SolidWorks, AutoCAD",Engineering,Bangalore,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in SolidWorks, AutoCAD."
INT2230,Content Marketing Intern,"SEO, Communication, Google Analytics",Marketing,Remote,"Seeking a motivated Content Marketing Intern to join our Marketing team. The ideal candidate will have skills in SEO, Communication, Google Analytics."
INT2231,Data Scientist Intern,"C++, Node.js, Python",Software Development,Rural,"Seeking a motivated Data Scientist Intern to join our Software Development team. The ideal candidate will have skills in C++, Node.js, Python."
INT2232,Financial Analyst Intern,"Accounting, Tally, Financial Modeling, MS Excel",Finance,Noida,"Seeking a motivated Financial Analyst Intern to join our Finance team. The ideal candidate will have skills in Accounting, Tally, Financial Modeling, MS Excel."
INT2233,Backend Developer Intern,"Java, Data Analysis",Software Development,Delhi,"Seeking a motivated Backend Developer Intern to join our Software Development team. The ideal candidate will have skills in Java, Data Analysis."
INT2234,Product Designer Intern,"C++, Figma, Illustrator",Design,Delhi,"Seeking a motivated Product Designer Intern to join our Design team. The ideal candidate will have skills in C++, Figma, Illustrator."
INT2235,Mechanical Engineer Intern,"SolidWorks, MATLAB, VLSI",Engineering,Delhi,"Seeking a motivated Mechanical Engineer Intern to join our Engineering team. The ideal candidate will have skills in SolidWorks, MATLAB, VLSI."
INT2236,Backend Developer Intern,"Machine Learning, Docker",Software Development,Rural,"Seeking a motivated Backend Developer Intern to join our Software Development team. The ideal candidate will have skills in Machine Learning, Docker."
INT2237,Wealth Management Intern,"Statistics, Financial Modeling",Finance,Rural,"Seeking a motivated Wealth Management Intern to join our Finance team. The ideal candidate will have skills in Statistics, Financial Modeling."
INT2238,Video Editor Intern,"Research, Content Writing, Copywriting",Media,Chennai,"Seeking a motivated Video Editor Intern to join our Media team. The ideal candidate will have skills in Research, Content Writing, Copywriting."
INT2239,Data Scientist Intern,"React, Machine Learning, Data Analysis, SQL",Software Development,Delhi,"Seeking a motivated Data Scientist Intern to join our Software Development team. The ideal candidate will have skills in React, Machine Learning, Data Analysis, SQL."
INT2240,Content Writer Intern,"Copywriting, Content Writing, Adobe Premiere Pro",Media,Rural,"Seeking a motivated Content Writer Intern to join our Media team. The ideal candidate will have skills in Copywriting, Content Writing, Adobe Premiere Pro."
INT2241,Electronics Engineer Intern,"SolidWorks, Circuit Design, VLSI, AutoCAD",Engineering,Rural,"Seeking a motivated Electronics Engineer Intern to join our Engineering team. The ideal candidate will have skills in SolidWorks, Circuit Design, VLSI, AutoCAD."
INT2242,Software Developer Intern,"Git, C++",Software Development,Pune,"Seeking a motivated Software Developer Intern to join our Software Development team. The ideal candidate will have skills in Git, C++."
INT2243,Social Media Intern,"SEO, Email Marketing, Content Writing",Marketing,Gurgaon,"Seeking a motivated Social Media Intern to join our Marketing team. The ideal candidate will have skills in SEO, Email Marketing, Content Writing."
INT2244,Backend Developer Intern,"Machine Learning, Node.js, C++",Software Development,Hyderabad,"Seeking a motivated Backend Developer Intern to join our Software Development team. The ideal candidate will have skills in Machine Learning, Node.js, C++."
INT2245,Product Designer Intern,"UI/UX, Figma",Design,Pune,"Seeking a motivated Product Designer Intern to join our Design team. The ideal candidate will have skills in UI/UX, Figma."
INT2246,Digital Marketing Intern,"Content Writing, Email Marketing, Social Media Marketing",Marketing,Pune,"Seeking a motivated Digital Marketing Intern to join our Marketing team. The ideal candidate will have skills in Content Writing, Email Marketing, Social Media Marketing."
INT2247,Product Designer Intern,"Adobe XD, UI/UX, Illustrator",Design,Pune,"Seeking a motivated Product Designer Intern to join our Design team. The ideal candidate will have skills in Adobe XD, UI/UX, Illustrator."
INT2248,Financial Analyst Intern,"Tally, Power BI",Finance,Chennai,"Seeking a motivated Financial Analyst Intern to join our Finance team. The ideal candidate will have skills in Tally, Power BI."
INT2249,Content Writer Intern,"Copywriting, Research, Adobe Premiere Pro",Media,Rural,"Seeking a motivated Content Writer Intern to join our Media team. The ideal candidate will have skills in Copywriting, Research, Adobe Premiere Pro."
INT2250,Product Designer Intern,"Adobe XD, Illustrator, UI/UX, Figma",Design,Rural,"Seeking a motivated Product Designer Intern to join our Design team. The ideal candidate will have skills in Adobe XD, Illustrator, UI/UX, Figma."
INT2251,Electronics Engineer Intern,"MATLAB, AutoCAD",Engineering,Rural,"Seeking a motivated Electronics Engineer Intern to join our Engineering team. The ideal candidate will have skills in MATLAB, AutoCAD."
INT2252,Accounting Intern,"Tally, Power BI, Financial Modeling, Accounting",Finance,Rural,"Seeking a motivated Accounting Intern to join our Finance team. The ideal candidate will have skills in Tally, Power BI, Financial Modeling, Accounting."
INT2253,Financial Analyst Intern,"Accounting, Power BI, Tally",Finance,Pune,"Seeking a motivated Financial Analyst Intern to join our Finance team. The ideal candidate will have skills in Accounting, Power BI, Tally."
INT2254,Journalism Intern,"Research, Content Writing, Adobe Premiere Pro, Copywriting",Media,Rural,"Seeking a motivated Journalism Intern to join our Media team. The ideal candidate will have skills in Research, Content Writing, Adobe Premiere Pro, Copywriting."
INT2255,Content Marketing Intern,"Google Analytics, Social Media Marketing, Email Marketing",Marketing,Chennai,"Seeking a motivated Content Marketing Intern to join our Marketing team. The ideal candidate will have skills in Google Analytics, Social Media Marketing, Email Marketing."
INT2256,Investment Banking Intern,"MS Excel, Accounting",Finance,Rural,"Seeking a motivated Investment Banking Intern to join our Finance team. The ideal candidate will have skills in MS Excel, Accounting."
INT2257,Journalism Intern,"Content Writing, Adobe Premiere Pro, Research",Media,Bangalore,"Seeking a motivated Journalism Intern to join our Media team. The ideal candidate will have skills in Content Writing, Adobe Premiere Pro, Research."
INT2258,Project Management Intern,"Data Analysis, Market Research",Management,Delhi,"Seeking a motivated Project Management Intern to join our Management team. The ideal candidate will have skills in Data Analysis, Market Research."
INT2259,HR Intern,"Communication, MS Office, Project Management",Management,Gurgaon,"Seeking a motivated HR Intern to join our Management team. The ideal candidate will have skills in Communication, MS Office, Project Management."
INT2260,HR Intern,"Project Management, MS Office, Market Research",Management,Rural,"Seeking a motivated HR Intern to join our Management team. The ideal candidate will have skills in Project Management, MS Office, Market Research."
INT2261,Social Media Intern,"Email Marketing, Communication, Content Writing",Marketing,Rural,"Seeking a motivated Social Media Intern to join our Marketing team. The ideal candidate will have skills in Email Marketing, Communication, Content Writing."
INT2262,Business Development Intern,"Market Research, Project Management",Management,Noida,"Seeking a motivated Business Development Intern to join our Management team. The ideal candidate will have skills in Market Research, Project Management."
INT2263,Content Writer Intern,"Research, Content Writing, Copywriting",Media,Pune,"Seeking a motivated Content Writer Intern to join our Media team. The ideal candidate will have skills in Research, Content Writing, Copywriting."
INT2264,Civil Engineer Intern,"MATLAB, SolidWorks",Engineering,Delhi,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in MATLAB, SolidWorks."
INT2265,Operations Intern,"MS Office, Data Analysis, Communication, Market Research",Management,Bangalore,"Seeking a motivated Operations Intern to join our Management team. The ideal candidate will have skills in MS Office, Data Analysis, Communication, Market Research."
INT2266,HR Intern,"MS Office, Project Management, Market Research",Management,Bangalore,"Seeking a motivated HR Intern to join our Management team. The ideal candidate will have skills in MS Office, Project Management, Market Research."
INT2267,Mechanical Engineer Intern,"MATLAB, AutoCAD",Engineering,Delhi,"Seeking a motivated Mechanical Engineer Intern to join our Engineering team. The ideal candidate will have skills in MATLAB, AutoCAD."
INT2268,Financial Analyst Intern,"MS Excel, Financial Modeling",Finance,Delhi,"Seeking a motivated Financial Analyst Intern to join our Finance team. The ideal candidate will have skills in MS Excel, Financial Modeling."
INT2269,UI/UX Designer Intern,"Photoshop, C++",Design,Remote,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in Photoshop, C++."
INT2270,Civil Engineer Intern,"MATLAB, VLSI, SolidWorks, Circuit Design",Engineering,Hyderabad,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in MATLAB, VLSI, SolidWorks, Circuit Design."
INT2271,Product Designer Intern,"Illustrator, UI/UX, Adobe XD",Design,Gurgaon,"Seeking a motivated Product Designer Intern to join our Design team. The ideal candidate will have skills in Illustrator, UI/UX, Adobe XD."
INT2272,Civil Engineer Intern,"SolidWorks, MATLAB, VLSI",Engineering,Chennai,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in SolidWorks, MATLAB, VLSI."
INT2273,Civil Engineer Intern,"MATLAB, AutoCAD",Engineering,Hyderabad,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in MATLAB, AutoCAD."
INT2274,SEO Analyst Intern,"Content Writing, Social Media Marketing, Communication, Google Analytics",Marketing,Bangalore,"Seeking a motivated SEO Analyst Intern to join our Marketing team. The ideal candidate will have skills in Content Writing, Social Media Marketing, Communication, Google Analytics."
INT2275,Civil Engineer Intern,"Circuit Design, SolidWorks, VLSI, AutoCAD",Engineering,Bangalore,"Seeking a motivated Civil Engineer Intern to join our Engineering team. The ideal candidate will have skills in Circuit Design, SolidWorks, VLSI, AutoCAD."
INT2276,Graphic Designer Intern,"Photoshop, UI/UX",Design,Gurgaon,"Seeking a motivated Graphic Designer Intern to join our Design team. The ideal candidate will have skills in Photoshop, UI/UX."
INT2277,Content Marketing Intern,"Communication, Content Writing",Marketing,Rural,"Seeking a motivated Content Marketing Intern to join our Marketing team. The ideal candidate will have skills in Communication, Content Writing."
INT2278,Data Scientist Intern,"Data Analysis, Docker, SQL",Software Development,Gurgaon,"Seeking a motivated Data Scientist Intern to join our Software Development team. The ideal candidate will have skills in Data Analysis, Docker, SQL."
INT2279,Graphic Designer Intern,"Adobe XD, Figma, Photoshop",Design,Chennai,"Seeking a motivated Graphic Designer Intern to join our Design team. The ideal candidate will have skills in Adobe XD, Figma, Photoshop."
INT2280,Accounting Intern,"Accounting, Power BI",Finance,Rural,"Seeking a motivated Accounting Intern to join our Finance team. The ideal candidate will have skills in Accounting, Power BI."
INT2281,Content Writer Intern,"Research, Copywriting, Content Writing, Adobe Premiere Pro",Media,Rural,"Seeking a motivated Content Writer Intern to join our Media team. The ideal candidate will have skills in Research, Copywriting, Content Writing, Adobe Premiere Pro."
INT2282,Wealth Management Intern,"Financial Modeling, Power BI, Accounting",Finance,Noida,"Seeking a motivated Wealth Management Intern to join our Finance team. The ideal candidate will have skills in Financial Modeling, Power BI, Accounting."
INT2283,Financial Analyst Intern,"Power BI, Tally, Statistics, MS Excel",Finance,Remote,"Seeking a motivated Financial Analyst Intern to join our Finance team. The ideal candidate will have skills in Power BI, Tally, Statistics, MS Excel."
INT2284,Financial Analyst Intern,"Financial Modeling, MS Excel",Finance,Pune,"Seeking a motivated Financial Analyst Intern to join our Finance team. The ideal candidate will have skills in Financial Modeling, MS Excel."
INT2285,Wealth Management Intern,"Statistics, Tally, MS Excel, Financial Modeling",Finance,Chennai,"Seeking a motivated Wealth Management Intern to join our Finance team. The ideal candidate will have skills in Statistics, Tally, MS Excel, Financial Modeling."
INT2286,Mechanical Engineer Intern,"VLSI, MATLAB, Circuit Design, SolidWorks",Engineering,Rural,"Seeking a motivated Mechanical Engineer Intern to join our Engineering team. The ideal candidate will have skills in VLSI, MATLAB, Circuit Design, SolidWorks."
INT2287,UI/UX Designer Intern,"Illustrator, C++, UI/UX, Adobe XD",Design,Mumbai,"Seeking a motivated UI/UX Designer Intern to join our Design team. The ideal candidate will have skills in Illustrator, C++, UI/UX, Adobe XD."
INT2288,Business Development Intern,"Data Analysis, Project Management, Communication, Market Research",Management,Rural,"Seeking a motivated Business Development Intern to join our Management team. The ideal candidate will have skills in Data Analysis, Project Management, Communication, Market Research."
